#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lava                                              (minecraft:lava)                                                                 = Lava
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
gold                                              (tconstruct:molten_gold)                                                         = Molten Gold
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
alubrass                                          (tconstruct:molten_alubrass)                                                     = Molten Aluminum Brass
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
tin                                               (tconstruct:molten_tin)                                                          = Molten Tin
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
liquidhydrogen                                    ([no block])                                                                     = Liquid Hydrogen
liquidoxygen                                      ([no block])                                                                     = Liquid Oxygen
liquidchlorine                                    ([no block])                                                                     = Liquid Chlorine
liquidsulfurdioxide                               ([no block])                                                                     = Liquid Sulfur Dioxide
liquidsulfurtrioxide                              ([no block])                                                                     = Liquid Sulfur Trioxide
sulfuricacid                                      ([no block])                                                                     = Sulfuric Acid
liquidhydrogenchloride                            ([no block])                                                                     = Liquid Hydrogen Chloride
liquidethene                                      ([no block])                                                                     = Liquid Ethylene
liquidsodium                                      ([no block])                                                                     = Liquid Sodium
brine                                             ([no block])                                                                     = Brine
liquiddeuterium                                   ([no block])                                                                     = Liquid Deuterium
liquidtritium                                     ([no block])                                                                     = Liquid Tritium
liquidfusionfuel                                  ([no block])                                                                     = Liquid D-T Fuel
liquidlithium                                     ([no block])                                                                     = Liquid Lithium
heavywater                                        ([no block])                                                                     = Heavy Water
steam                                             (railcraft:steam)                                                                = Steam
canolaoil                                         (actuallyadditions:block_canola_oil)                                             = Canola Oil
refinedcanolaoil                                  (actuallyadditions:block_refined_canola_oil)                                     = Refined Canola Oil
crystaloil                                        (actuallyadditions:block_crystal_oil)                                            = Crystallized Oil
empoweredoil                                      (actuallyadditions:block_empowered_oil)                                          = Empowered Oil
creosote                                          (railcraft:creosote)                                                             = Creosote Oil
coal                                              ([no block])                                                                     = Liquifacted Coal
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Crude Oil
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion                                            ([no block])                                                                     = Potion
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          ([no block])                                                                     = Molten Platinum
iridium                                           ([no block])                                                                     = Molten Iridium
invar                                             ([no block])                                                                     = Molten Invar
constantan                                        (immersiveengineering:molten_constantan)                                         = Molten Constantan
signalum                                          ([no block])                                                                     = Molten Signalum
lumium                                            ([no block])                                                                     = Molten Lumium
enderium                                          ([no block])                                                                     = Molten Enderium
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
oil                                               (buildcraftenergy:fluid_block_oil_heat_0)                                        = Oil (§bCool§r)
oil_heat_1                                        (buildcraftenergy:fluid_block_oil_heat_1)                                        = Oil (§6Hot§r)
oil_heat_2                                        (buildcraftenergy:fluid_block_oil_heat_2)                                        = Oil (§cSearing§r)
oil_residue                                       (buildcraftenergy:fluid_block_oil_residue_heat_0)                                = Residue (§bCool§r)
oil_residue_heat_1                                (buildcraftenergy:fluid_block_oil_residue_heat_1)                                = Residue (§6Hot§r)
oil_residue_heat_2                                (buildcraftenergy:fluid_block_oil_residue_heat_2)                                = Residue (§cSearing§r)
oil_heavy                                         (buildcraftenergy:fluid_block_oil_heavy_heat_0)                                  = Heavy Oil (§bCool§r)
oil_heavy_heat_1                                  (buildcraftenergy:fluid_block_oil_heavy_heat_1)                                  = Heavy Oil (§6Hot§r)
oil_heavy_heat_2                                  (buildcraftenergy:fluid_block_oil_heavy_heat_2)                                  = Heavy Oil (§cSearing§r)
oil_dense                                         (buildcraftenergy:fluid_block_oil_dense_heat_0)                                  = Dense Oil (§bCool§r)
oil_dense_heat_1                                  (buildcraftenergy:fluid_block_oil_dense_heat_1)                                  = Dense Oil (§6Hot§r)
oil_dense_heat_2                                  (buildcraftenergy:fluid_block_oil_dense_heat_2)                                  = Dense Oil (§cSearing§r)
oil_distilled                                     (buildcraftenergy:fluid_block_oil_distilled_heat_0)                              = Distilled Oil (§bCool§r)
oil_distilled_heat_1                              (buildcraftenergy:fluid_block_oil_distilled_heat_1)                              = Distilled Oil (§6Hot§r)
oil_distilled_heat_2                              (buildcraftenergy:fluid_block_oil_distilled_heat_2)                              = Distilled Oil (§cSearing§r)
fuel_dense                                        (buildcraftenergy:fluid_block_fuel_dense_heat_0)                                 = Dense Fuel (§bCool§r)
fuel_dense_heat_1                                 (buildcraftenergy:fluid_block_fuel_dense_heat_1)                                 = Dense Fuel (§6Hot§r)
fuel_dense_heat_2                                 (buildcraftenergy:fluid_block_fuel_dense_heat_2)                                 = Dense Fuel (§cSearing§r)
fuel_mixed_heavy                                  (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_0)                           = Mixed Heavy Fuels (§bCool§r)
fuel_mixed_heavy_heat_1                           (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_1)                           = Mixed Heavy Fuels (§6Hot§r)
fuel_mixed_heavy_heat_2                           (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_2)                           = Mixed Heavy Fuels (§cSearing§r)
fuel_light                                        (buildcraftenergy:fluid_block_fuel_light_heat_0)                                 = Light Fuel (§bCool§r)
fuel_light_heat_1                                 (buildcraftenergy:fluid_block_fuel_light_heat_1)                                 = Light Fuel (§6Hot§r)
fuel_light_heat_2                                 (buildcraftenergy:fluid_block_fuel_light_heat_2)                                 = Light Fuel (§cSearing§r)
fuel_mixed_light                                  (buildcraftenergy:fluid_block_fuel_mixed_light_heat_0)                           = Mixed Light Fuels (§bCool§r)
fuel_mixed_light_heat_1                           (buildcraftenergy:fluid_block_fuel_mixed_light_heat_1)                           = Mixed Light Fuels (§6Hot§r)
fuel_mixed_light_heat_2                           (buildcraftenergy:fluid_block_fuel_mixed_light_heat_2)                           = Mixed Light Fuels (§cSearing§r)
fuel_gaseous                                      (buildcraftenergy:fluid_block_fuel_gaseous_heat_0)                               = Gaseous Fuel (§bCool§r)
fuel_gaseous_heat_1                               (buildcraftenergy:fluid_block_fuel_gaseous_heat_1)                               = Gaseous Fuel (§6Hot§r)
fuel_gaseous_heat_2                               (buildcraftenergy:fluid_block_fuel_gaseous_heat_2)                               = Gaseous Fuel (§cSearing§r)
fluidberylium                                     (techreborn:techreborn_techreborn.berylium)                                      = Beryllium
fluidcalcium                                      (techreborn:techreborn_techreborn.calcium)                                       = Calcium
fluidcalciumcarbonate                             (techreborn:techreborn_techreborn.calciumcarbonate)                              = Calciumcarbonate
fluidchlorite                                     (techreborn:techreborn_techreborn.chlorite)                                      = Chlorite
fluiddeuterium                                    (techreborn:techreborn_techreborn.deuterium)                                     = Deuterium
fluidglyceryl                                     (techreborn:techreborn_techreborn.glyceryl)                                      = Glyceryl
fluidhelium                                       (techreborn:techreborn_techreborn.helium)                                        = Helium
fluidhelium3                                      (techreborn:techreborn_techreborn.helium3)                                       = Helium3
fluidheliumplasma                                 (techreborn:techreborn_techreborn.heliumplasma)                                  = Heliumplasma
fluidhydrogen                                     (techreborn:techreborn_techreborn.hydrogen)                                      = Hydrogen
fluidlithium                                      (techreborn:techreborn_techreborn.lithium)                                       = Lithium
fluidmercury                                      (techreborn:techreborn_techreborn.mercury)                                       = Mercury
fluidmethane                                      (techreborn:techreborn_techreborn.methane)                                       = Methane
fluidnitrocoalfuel                                (techreborn:techreborn_techreborn.nitrocoalfuel)                                 = Nitrocoalfuel
fluidnitrofuel                                    (techreborn:techreborn_techreborn.nitrofuel)                                     = Nitrofuel
fluidnitrogen                                     (techreborn:techreborn_techreborn.nitrogen)                                      = Nitrogen
fluidnitrogendioxide                              (techreborn:techreborn_techreborn.nitrogendioxide)                               = Nitrogendioxide
fluidpotassium                                    (techreborn:techreborn_techreborn.potassium)                                     = Potassium
fluidsilicon                                      (techreborn:techreborn_techreborn.silicon)                                       = Silicon
fluidsodium                                       (techreborn:techreborn_techreborn.sodium)                                        = Sodium
fluidsodiumpersulfate                             (techreborn:techreborn_techreborn.sodiumpersulfate)                              = Sodiumpersulfate
fluidtritium                                      (techreborn:techreborn_techreborn.tritium)                                       = Tritium
fluidwolframium                                   (techreborn:techreborn_techreborn.wolframium)                                    = Wolframium
fluidcarbon                                       (techreborn:techreborn_techreborn.carbon)                                        = Carbon
fluidcarbonfiber                                  (techreborn:techreborn_techreborn.carbonfiber)                                   = Carbon Fiber
fluidnitrocarbon                                  (techreborn:techreborn_techreborn.nitrocarbon)                                   = Nitrocarbon
fluidsulfur                                       (techreborn:techreborn_techreborn.sulfur)                                        = Sulfur
fluidsodiumsulfide                                (techreborn:techreborn_techreborn.sodiumsulfide)                                 = Sodium Sulfide
fluiddiesel                                       (techreborn:techreborn_techreborn.diesel)                                        = Diesel
fluidnitrodiesel                                  (techreborn:techreborn_techreborn.nitrodiesel)                                   = Nitrodiesel
fluidoil                                          (techreborn:techreborn_techreborn.oil)                                           = Oil
fluidsulfuricacid                                 (techreborn:techreborn_techreborn.sulfuricacid)                                  = Sulfuric Acid
fluidcompressedair                                (techreborn:techreborn_techreborn.compressedair)                                 = Compressed Air
fluidelectrolyzedwater                            (techreborn:techreborn_techreborn.electrolyzedwater)                             = Electrolyzed Water
fluidbiofuel                                      (techreborn:techreborn_techreborn.biofuel)                                       = Biofuel
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = Ethanol
biomass                                           (forestry:fluid.biomass)                                                         = Biomass
glass                                             (forestry:fluid.glass)                                                           = Liquid Glass
for.honey                                         (forestry:fluid.for.honey)                                                       = Honey
ice                                               (forestry:fluid.ice)                                                             = Crushed Ice
juice                                             (forestry:fluid.juice)                                                           = Fruit Juice
milk                                              (forestry:fluid.milk)                                                            = Milk
seed.oil                                          (forestry:fluid.seed.oil)                                                        = Seed Oil
short.mead                                        (forestry:fluid.short.mead)                                                      = Short Mead
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Plant Oil
ethanol                                           (immersiveengineering:fluidethanol)                                              = Ethanol
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = Biodiesel
concrete                                          (immersiveengineering:fluidconcrete)                                             = Liquid Concrete
uranium                                           (immersiveengineering:molten_uranium)                                            = Molten Uranium
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
