+-------------------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------------------------+
| Name                          | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                                |
+-------------------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------------------------+
| acid                          |     100 |         300 |      1000 |          0 | COMMON   |     false | stupidthings:acid                                    |
| aerotheum                     |    -800 |         300 |       100 |          0 | RARE     |      true | thermalfoundation:fluid_aerotheum                    |
| alubrass                      |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_alubrass                           |
| aluminum                      |    2000 |         330 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_aluminum                           |
| alumite                       |    2000 |         890 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_alumite                       |
| amber                         |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:amber                                    |
| ardite                        |    2000 |         860 |     10000 |         10 | RARE     |     false | tconstruct:molten_ardite                             |
| astralsorcery.liquidstarlight |    1001 |         120 |       300 |         15 | EPIC     |     false | astralsorcery:fluidblockliquidstarlight              |
| bio.ethanol                   |     790 |         295 |      1000 |          0 | COMMON   |     false | forestry:fluid.bio.ethanol                           |
| biocrude                      |    1500 |         300 |      2500 |          0 | COMMON   |     false | -                                                    |
| biodiesel                     |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidbiodiesel                  |
| biofuel                       |    3000 |         600 |      6000 |          0 | COMMON   |     false | industrialforegoing:biofuel                          |
| biomass                       |     400 |         295 |      6560 |          0 | COMMON   |     false | forestry:fluid.biomass                               |
| blood                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:blood                                  |
| blueslime                     |    1500 |         310 |      1500 |          0 | COMMON   |     false | tconstruct:blueslime                                 |
| brass                         |    2000 |         470 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_brass                              |
| brine                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| bronze                        |    2000 |         475 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_bronze                             |
| canolaoil                     |    1000 |         300 |      1000 |          0 | UNCOMMON |     false | actuallyadditions:block_canola_oil                   |
| clay                          |    2000 |         700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_clay                               |
| cloud_seed                    |     500 |         300 |       800 |          0 | COMMON   |     false | enderio:block_fluid_cloud_seed                       |
| cloud_seed_concentrated       |    1000 |         300 |      1200 |          0 | COMMON   |     false | enderio:block_fluid_cloud_seed_concentrated          |
| coal                          |     900 |         300 |      2000 |          0 | COMMON   |     false | -                                                    |
| cobalt                        |    2000 |         950 |     10000 |         10 | RARE     |     false | tconstruct:molten_cobalt                             |
| concrete                      |    2400 |         300 |      4000 |          0 | COMMON   |     false | immersiveengineering:fluidconcrete                   |
| conductive_iron               |    9000 |        1400 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_conductive_iron                  |
| constantan                    |    1000 |         650 |      1000 |          0 | COMMON   |     false | immersiveengineering:molten_constantan               |
| construction_alloy            |    9000 |         563 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_construction_alloy               |
| copper                        |    2000 |         542 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_copper                             |
| creosote                      |    1100 |         300 |      2000 |          0 | COMMON   |     false | railcraft:creosote                                   |
| crude_oil                     |     900 |         300 |      2000 |          0 | COMMON   |     false | thermalfoundation:fluid_crude_oil                    |
| cryotheum                     |    4000 |          50 |      4000 |          0 | RARE     |     false | thermalfoundation:fluid_cryotheum                    |
| crystal                       |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:crystal                                  |
| crystaloil                    |    1000 |         300 |      1000 |          0 | RARE     |     false | actuallyadditions:block_crystal_oil                  |
| cyanite                       |     100 |         295 |       100 |          6 | UNCOMMON |     false | bigreactors:cyanite                                  |
| dark_steel                    |    9000 |        1813 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_dark_steel                       |
